config,episode,frames,reward,avg_last5,epsilon
batch16_update3,1,842,-20.0,-20.0,0.04975
batch16_update3,2,1606,-21.0,-20.5,0.04975
batch16_update3,3,2370,-21.0,-20.666666666666668,0.04975
batch16_update3,4,3134,-21.0,-20.75,0.04975
batch16_update3,5,3898,-21.0,-20.8,0.04975
batch16_update3,6,4690,-21.0,-21.0,0.04975
batch16_update3,7,5482,-21.0,-21.0,0.04975
batch16_update3,8,6293,-21.0,-21.0,0.05
batch16_update3,9,7057,-21.0,-21.0,0.05
batch16_update3,10,7821,-21.0,-21.0,0.05
batch16_update3,11,8585,-21.0,-21.0,0.05
batch16_update3,12,9377,-21.0,-21.0,0.05
batch16_update3,13,10141,-21.0,-21.0,0.05
batch16_update3,14,10905,-21.0,-21.0,0.05
batch16_update3,15,11767,-20.0,-20.8,0.05
batch16_update3,16,12531,-21.0,-20.8,0.05
batch16_update3,17,13357,-21.0,-20.8,0.05
batch16_update3,18,14223,-20.0,-20.6,0.05
batch16_update3,19,14987,-21.0,-20.6,0.05
batch16_update3,20,15751,-21.0,-20.8,0.05
batch16_update3,21,16515,-21.0,-20.8,0.05
batch16_update3,22,17279,-21.0,-20.8,0.05
batch16_update3,23,18043,-21.0,-21.0,0.05
batch16_update3,24,18807,-21.0,-21.0,0.05
batch16_update3,25,19599,-21.0,-21.0,0.05
