config,episode,frames,reward,avg_last5,epsilon
batch16_update10,1,842,-20.0,-20.0,0.04975
batch16_update10,2,1606,-21.0,-20.5,0.04975
batch16_update10,3,2370,-21.0,-20.666666666666668,0.04975
batch16_update10,4,3134,-21.0,-20.75,0.04975
batch16_update10,5,3988,-21.0,-20.8,0.04975
batch16_update10,6,4812,-21.0,-21.0,0.04975
batch16_update10,7,5576,-21.0,-21.0,0.04975
batch16_update10,8,6400,-21.0,-21.0,0.04975
batch16_update10,9,7164,-21.0,-21.0,0.04975
batch16_update10,10,7990,-21.0,-21.0,0.04975
batch16_update10,11,8828,-20.0,-20.8,0.04975
batch16_update10,12,9654,-21.0,-20.8,0.04975
batch16_update10,13,10418,-21.0,-20.8,0.04975
batch16_update10,14,11210,-21.0,-20.8,0.04975
batch16_update10,15,11974,-21.0,-20.8,0.04975
batch16_update10,16,12738,-21.0,-21.0,0.04975
batch16_update10,17,13502,-21.0,-21.0,0.04975
batch16_update10,18,14266,-21.0,-21.0,0.04975
batch16_update10,19,15030,-21.0,-21.0,0.04975
batch16_update10,20,15794,-21.0,-21.0,0.04975
batch16_update10,21,16558,-21.0,-21.0,0.04975
batch16_update10,22,17322,-21.0,-21.0,0.04975
batch16_update10,23,18086,-21.0,-21.0,0.04975
batch16_update10,24,18850,-21.0,-21.0,0.04975
batch16_update10,25,19614,-21.0,-21.0,0.04975
