config,episode,frames,reward,avg_last5,epsilon
batch8_update3,1,824,-21.0,-21.0,0.04975
batch8_update3,2,1588,-21.0,-21.0,0.04975
batch8_update3,3,2352,-21.0,-21.0,0.04975
batch8_update3,4,3178,-21.0,-21.0,0.04975
batch8_update3,5,4004,-21.0,-21.0,0.04975
batch8_update3,6,4768,-21.0,-21.0,0.04975
batch8_update3,7,5532,-21.0,-21.0,0.04975
batch8_update3,8,6386,-21.0,-21.0,0.04975
batch8_update3,9,7150,-21.0,-21.0,0.04975
batch8_update3,10,7914,-21.0,-21.0,0.04975
batch8_update3,11,8706,-21.0,-21.0,0.04975
batch8_update3,12,9470,-21.0,-21.0,0.04975
batch8_update3,13,10262,-21.0,-21.0,0.04975
batch8_update3,14,11026,-21.0,-21.0,0.04975
batch8_update3,15,11790,-21.0,-21.0,0.04975
batch8_update3,16,12554,-21.0,-21.0,0.04975
batch8_update3,17,13318,-21.0,-21.0,0.04975
batch8_update3,18,14144,-21.0,-21.0,0.04975
batch8_update3,19,14956,-21.0,-21.0,0.04975
batch8_update3,20,15720,-21.0,-21.0,0.04975
batch8_update3,21,16484,-21.0,-21.0,0.04975
batch8_update3,22,17267,-21.0,-21.0,0.05
batch8_update3,23,18031,-21.0,-21.0,0.05
batch8_update3,24,18795,-21.0,-21.0,0.05
batch8_update3,25,19559,-21.0,-21.0,0.05
